zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,major_highways
77494,29.74566,-95.82302,Katy,TX,Texas,True,,140157.0,1428.4,48157,Fort Bend,"{""48157"": 85.08, ""48473"": 7.93, ""48201"": 6.99}",Fort Bend|Waller|Harris,48157|48473|48201,False,False,America/Chicago,"I-10, I-10"
8701,40.07635,-74.20311,Lakewood,NJ,New Jersey,True,,139149.0,2172.0,34029,Ocean,"{""34029"": 100}",Ocean,34029,False,False,America/New_York,"I-90, I-80"
77449,29.83674,-95.73547,Katy,TX,Texas,True,,130028.0,1856.7,48201,Harris,"{""48201"": 100}",Harris,48201,False,False,America/Chicago,"I-10, I-10"
78660,30.44361,-97.59558,Pflugerville,TX,Texas,True,,124834.0,1080.5,48453,Travis,"{""48453"": 100}",Travis,48453,False,False,America/Chicago,"I-10, I-35"
77433,29.9492,-95.73979,Cypress,TX,Texas,True,,116550.0,763.1,48201,Harris,"{""48201"": 100}",Harris,48201,False,False,America/Chicago,"I-45, I-10"
77084,29.82698,-95.6612,Houston,TX,Texas,True,,110217.0,1341.0,48201,Harris,"{""48201"": 100}",Harris,48201,False,False,America/Chicago,"I-45, I-10"
60629,41.7754,-87.71239,Chicago,IL,Illinois,True,,108324.0,5933.9,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-290, I-55"
11368,40.74962,-73.85264,Corona,NY,New York,True,,105716.0,15498.5,36081,Queens,"{""36081"": 100}",Queens,36081,False,False,America/New_York,"I-90, I-495"
92336,34.13686,-117.46033,Fontana,CA,California,True,,105517.0,2048.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,06071,False,False,America/Los_Angeles,"I-405, I-80"
11208,40.67481,-73.87243,Brooklyn,NY,New York,True,,105428.0,15209.1,36047,Kings,"{""36047"": 99.66, ""36081"": 0.34}",Kings|Queens,36047|36081,False,False,America/New_York,"I-87, I-495"
37013,36.04658,-86.63445,Antioch,TN,Tennessee,True,,105212.0,1036.1,47037,Davidson,"{""47037"": 100}",Davidson,47037,False,False,America/Chicago,"I-90, I-80"
78130,29.69224,-98.06877,New Braunfels,TX,Texas,True,,104009.0,441.1,48187,Guadalupe,"{""48187"": 55.98, ""48091"": 43.52, ""48209"": 0.5}",Guadalupe|Comal|Hays,48187|48091|48209,False,False,America/Chicago,"I-20, I-10"
79936,31.77373,-106.29631,El Paso,TX,Texas,True,,102991.0,1535.4,48141,El Paso,"{""48141"": 100}",El Paso,48141,False,False,America/Denver,"I-45, I-35"
11385,40.70103,-73.89011,Ridgewood,NY,New York,True,,101704.0,10862.2,36081,Queens,"{""36081"": 100}",Queens,36081,False,False,America/New_York,"I-495, I-95"
30044,33.92207,-84.06924,Lawrenceville,GA,Georgia,True,,101475.0,1577.9,13135,Gwinnett,"{""13135"": 100}",Gwinnett,13135,False,False,America/New_York,"I-285, I-75"
34787,28.48309,-81.62833,Winter Garden,FL,Florida,True,,101441.0,582.4,12095,Orange,"{""12095"": 83.13, ""12069"": 16.87}",Orange|Lake,12095|12069,False,False,America/New_York,"I-95, I-4"
94565,38.00926,-121.92886,Pittsburg,CA,California,True,,100488.0,856.6,6013,Contra Costa,"{""06013"": 100}",Contra Costa,06013,False,False,America/Los_Angeles,"I-80, I-10"
90011,34.00689,-118.25861,Los Angeles,CA,California,True,,100113.0,9012.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-15, I-80"
90650,33.90703,-118.08249,Norwalk,CA,California,True,,99900.0,3895.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-80, I-10"
78641,30.55851,-97.91473,Leander,TX,Texas,True,,99865.0,310.0,48453,Travis,"{""48453"": 63.17, ""48491"": 36.83}",Travis|Williamson,48453|48491,False,False,America/Chicago,"I-10, I-10"
79938,31.85764,-106.03895,El Paso,TX,Texas,True,,99621.0,98.6,48141,El Paso,"{""48141"": 54.48, ""48229"": 45.52}",El Paso|Hudspeth,48141|48229,False,False,America/Denver,"I-10, I-20"
11373,40.73892,-73.87854,Elmhurst,NY,New York,True,,98403.0,25131.7,36081,Queens,"{""36081"": 100}",Queens,36081,False,False,America/New_York,"I-495, I-87"
77573,29.50213,-95.08636,League City,TX,Texas,True,,98109.0,1271.8,48167,Galveston,"{""48167"": 99.83, ""48201"": 0.17}",Galveston|Harris,48167|48201,False,False,America/Chicago,"I-20, I-45"
91331,34.25602,-118.41939,Pacoima,CA,California,True,,97608.0,4033.0,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-405, I-10"
92335,34.08733,-117.46519,Fontana,CA,California,True,,97511.0,2156.6,6071,San Bernardino,"{""06071"": 100}",San Bernardino,06071,False,False,America/Los_Angeles,"I-5, I-10"
75052,32.66455,-97.02809,Grand Prairie,TX,Texas,True,,97278.0,1420.3,48113,Dallas,"{""48113"": 57.89, ""48439"": 42.11}",Dallas|Tarrant,48113|48439,False,False,America/Chicago,"I-20, I-35"
10467,40.87522,-73.872,Bronx,NY,New York,True,,96421.0,15974.1,36005,Bronx,"{""36005"": 100}",Bronx,36005,False,False,America/New_York,"I-87, I-95"
77429,29.99068,-95.65808,Cypress,TX,Texas,True,,96334.0,984.2,48201,Harris,"{""48201"": 100}",Harris,48201,False,False,America/Chicago,"I-45, I-10"
78245,29.40106,-98.73549,San Antonio,TX,Texas,True,,96015.0,1051.8,48029,Bexar,"{""48029"": 100}",Bexar,48029,False,False,America/Chicago,"I-45, I-35"
11226,40.64636,-73.95666,Brooklyn,NY,New York,True,,95144.0,28201.1,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-87, I-90"
90044,33.95253,-118.29194,Los Angeles,CA,California,True,,94830.0,7176.2,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-10, I-405"
11219,40.63267,-73.99672,Brooklyn,NY,New York,True,,94196.0,24369.4,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-87, I-95"
10314,40.60086,-74.16306,Staten Island,NY,New York,True,,93915.0,2790.0,36085,Richmond,"{""36085"": 100}",Richmond,36085,False,False,America/New_York,"I-95, I-87"
90250,33.91383,-118.34996,Hawthorne,CA,California,True,,93826.0,5352.6,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-10, I-15"
85142,33.19302,-111.66645,Queen Creek,AZ,Arizona,True,,93700.0,357.0,4021,Pinal,"{""04021"": 67.52, ""04013"": 32.48}",Pinal|Maricopa,04021|04013,False,False,America/Phoenix,"I-90, I-80"
91342,34.31778,-118.39207,Sylmar,CA,California,True,,93301.0,792.7,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-5, I-15"
11207,40.67016,-73.89383,Brooklyn,NY,New York,True,,93198.0,13229.6,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-87, I-90"
10025,40.79825,-73.96831,New York,NY,New York,True,,93065.0,40425.6,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York,"I-95, I-495"
11206,40.7019,-73.94254,Brooklyn,NY,New York,True,,93020.0,25635.6,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-90, I-87"
90201,33.97113,-118.1709,Bell Gardens,CA,California,True,,92763.0,5981.3,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-10, I-405"
90805,33.86494,-118.18051,Long Beach,CA,California,True,,92402.0,4808.9,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-80, I-15"
926,18.34691,-66.05434,San Juan,PR,Puerto Rico,True,,92284.0,1535.0,72127,San Juan,"{""72127"": 83.48, ""72139"": 15.69, ""72061"": 0.83}",San Juan|Trujillo Alto|Guaynabo,72127|72139|72061,False,False,America/Puerto_Rico,"I-90, I-80"
77479,29.56503,-95.6346,Sugar Land,TX,Texas,True,,92221.0,1089.8,48157,Fort Bend,"{""48157"": 100}",Fort Bend,48157,False,False,America/Chicago,"I-10, I-45"
60618,41.94694,-87.70263,Chicago,IL,Illinois,True,,91901.0,7105.2,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-55, I-57"
11221,40.6914,-73.92764,Brooklyn,NY,New York,True,,91588.0,25607.8,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-495, I-90"
90280,33.94453,-118.19256,South Gate,CA,California,True,,91365.0,4780.3,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-15, I-80"
77584,29.54577,-95.35013,Pearland,TX,Texas,True,,91065.0,1098.9,48039,Brazoria,"{""48039"": 95.86, ""48157"": 4.14}",Brazoria|Fort Bend,48039|48157,False,False,America/Chicago,"I-35, I-45"
73099,35.52583,-97.76343,Yukon,OK,Oklahoma,True,,91014.0,281.8,40017,Canadian,"{""40017"": 100}",Canadian,40017,False,False,America/Chicago,"I-80, I-90"
11220,40.64142,-74.01741,Brooklyn,NY,New York,True,,90652.0,20255.9,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-495, I-87"
78613,30.50683,-97.81939,Cedar Park,TX,Texas,True,,89956.0,1254.2,48491,Williamson,"{""48491"": 88.67, ""48453"": 11.33}",Williamson|Travis,48491|48453,False,False,America/Chicago,"I-45, I-35"
92683,33.75242,-117.99383,Westminster,CA,California,True,,89833.0,3568.3,6059,Orange,"{""06059"": 100}",Orange,06059,False,False,America/Los_Angeles,"I-80, I-10"
75035,33.15814,-96.7734,Frisco,TX,Texas,True,,89682.0,1390.5,48085,Collin,"{""48085"": 100}",Collin,48085,False,False,America/Chicago,"I-10, I-10"
78542,26.44412,-98.09163,Edinburg,TX,Texas,True,,89401.0,196.2,48215,Hidalgo,"{""48215"": 100}",Hidalgo,48215,False,False,America/Chicago,"I-10, I-20"
11214,40.59928,-73.99644,Brooklyn,NY,New York,True,,89397.0,17051.3,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-495, I-95"
60632,41.81141,-87.71348,Chicago,IL,Illinois,True,,89107.0,4618.4,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-290, I-57"
11212,40.6629,-73.91308,Brooklyn,NY,New York,True,,89020.0,22241.1,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-95, I-90"
92345,34.36415,-117.30984,Hesperia,CA,California,True,,88706.0,346.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,06071,False,False,America/Los_Angeles,"I-15, I-10"
78666,29.8826,-97.97974,San Marcos,TX,Texas,True,,88583.0,177.8,48209,Hays,"{""48209"": 77.87, ""48187"": 15.76, ""48091"": 4.34, ""48055"": 2.03}",Hays|Guadalupe|Comal|Caldwell,48209|48187|48091|48055,False,False,America/Chicago,"I-20, I-35"
92503,33.88308,-117.45222,Riverside,CA,California,True,,88395.0,994.2,6065,Riverside,"{""06065"": 100}",Riverside,06065,False,False,America/Los_Angeles,"I-10, I-405"
84043,40.41209,-111.87377,Lehi,UT,Utah,True,,88390.0,1096.0,49049,Utah,"{""49049"": 100}",Utah,49049,False,False,America/Denver,"I-90, I-80"
77407,29.67658,-95.71455,Richmond,TX,Texas,True,,88319.0,1705.7,48157,Fort Bend,"{""48157"": 100}",Fort Bend,48157,False,False,America/Chicago,"I-45, I-10"
30024,34.06341,-84.09116,Suwanee,GA,Georgia,True,,88067.0,816.2,13135,Gwinnett,"{""13135"": 65.24, ""13117"": 31.96, ""13121"": 2.8}",Gwinnett|Forsyth|Fulton,13135|13117|13121,False,False,America/New_York,"I-285, I-20"
11236,40.63951,-73.90098,Brooklyn,NY,New York,True,,88051.0,9538.2,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-495, I-90"
30043,34.00353,-84.00703,Lawrenceville,GA,Georgia,True,,87929.0,1026.5,13135,Gwinnett,"{""13135"": 100}",Gwinnett,13135,False,False,America/New_York,"I-85, I-20"
37042,36.56894,-87.41225,Clarksville,TN,Tennessee,True,,87652.0,595.1,47125,Montgomery,"{""47125"": 100}",Montgomery,47125,False,False,America/Chicago,"I-80, I-90"
10456,40.83064,-73.90812,Bronx,NY,New York,True,,87533.0,31397.9,36005,Bronx,"{""36005"": 100}",Bronx,36005,False,False,America/New_York,"I-495, I-90"
78521,25.95109,-97.32078,Brownsville,TX,Texas,True,,87380.0,359.9,48061,Cameron,"{""48061"": 100}",Cameron,48061,False,False,America/Chicago,"I-35, I-10"
99301,46.39184,-118.93509,Pasco,WA,Washington,True,,87044.0,69.1,53021,Franklin,"{""53021"": 100}",Franklin,53021,False,False,America/Los_Angeles,"I-80, I-90"
11230,40.6221,-73.96525,Brooklyn,NY,New York,True,,86978.0,18222.4,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-90, I-95"
34953,27.24938,-80.38137,Port Saint Lucie,FL,Florida,True,,86875.0,1407.8,12111,St. Lucie,"{""12111"": 100}",St. Lucie,12111,False,False,America/New_York,"I-10, I-95"
79928,31.67896,-106.11511,El Paso,TX,Texas,True,,86599.0,159.3,48141,El Paso,"{""48141"": 100}",El Paso,48141,False,False,America/Denver,"I-10, I-10"
93722,36.80003,-119.87791,Fresno,CA,California,True,,86110.0,1722.7,6019,Fresno,"{""06019"": 100}",Fresno,06019,False,False,America/Los_Angeles,"I-405, I-15"
93307,35.2487,-118.93253,Bakersfield,CA,California,True,,85945.0,235.0,6029,Kern,"{""06029"": 100}",Kern,06029,False,False,America/Los_Angeles,"I-5, I-15"
91911,32.60686,-117.04984,Chula Vista,CA,California,True,,85542.0,2595.0,6073,San Diego,"{""06073"": 100}",San Diego,06073,False,False,America/Los_Angeles,"I-15, I-5"
77379,30.03966,-95.53305,Spring,TX,Texas,True,,85190.0,1273.8,48201,Harris,"{""48201"": 100}",Harris,48201,False,False,America/Chicago,"I-10, I-45"
75217,32.71291,-96.68243,Dallas,TX,Texas,True,,85028.0,1182.7,48113,Dallas,"{""48113"": 100}",Dallas,48113,False,False,America/Chicago,"I-20, I-10"
75126,32.74361,-96.45289,Forney,TX,Texas,True,,84799.0,401.1,48257,Kaufman,"{""48257"": 97.33, ""48397"": 2.67}",Kaufman|Rockwall,48257|48397,False,False,America/Chicago,"I-35, I-10"
60647,41.92074,-87.702,Chicago,IL,Illinois,True,,84749.0,8257.3,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-55, I-90"
92376,34.11053,-117.37997,Rialto,CA,California,True,,84394.0,2445.5,6071,San Bernardino,"{""06071"": 100}",San Bernardino,06071,False,False,America/Los_Angeles,"I-405, I-80"
60639,41.9206,-87.75593,Chicago,IL,Illinois,True,,84240.0,6554.3,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-94, I-55"
77459,29.52691,-95.53407,Missouri City,TX,Texas,True,,84221.0,1040.1,48157,Fort Bend,"{""48157"": 100}",Fort Bend,48157,False,False,America/Chicago,"I-45, I-10"
93727,36.75119,-119.69736,Fresno,CA,California,True,,84107.0,1477.6,6019,Fresno,"{""06019"": 100}",Fresno,06019,False,False,America/Los_Angeles,"I-15, I-405"
95747,38.77963,-121.36798,Roseville,CA,California,True,,83902.0,769.2,6061,Placer,"{""06061"": 100}",Placer,06061,False,False,America/Los_Angeles,"I-80, I-5"
96706,21.34033,-158.01704,Ewa Beach,HI,Hawaii,True,,83692.0,1893.5,15003,Honolulu,"{""15003"": 100}",Honolulu,15003,False,False,Pacific/Honolulu,"I-80, I-90"
95823,38.47473,-121.44266,Sacramento,CA,California,True,,83607.0,2812.2,6067,Sacramento,"{""06067"": 100}",Sacramento,06067,False,False,America/Los_Angeles,"I-405, I-80"
92804,33.81801,-117.97517,Anaheim,CA,California,True,,83537.0,4526.9,6059,Orange,"{""06059"": 100}",Orange,06059,False,False,America/Los_Angeles,"I-15, I-5"
11234,40.6072,-73.91107,Brooklyn,NY,New York,True,,83187.0,4349.7,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-90, I-95"
27587,35.98098,-78.54963,Wake Forest,NC,North Carolina,True,,82886.0,304.5,37183,Wake,"{""37183"": 88.25, ""37077"": 9.18, ""37069"": 2.57}",Wake|Granville|Franklin,37183|37077|37069,False,False,America/New_York,"I-90, I-80"
95076,36.94029,-121.75089,Watsonville,CA,California,True,,82806.0,236.7,6087,Santa Cruz,"{""06087"": 74.52, ""06053"": 22.64, ""06085"": 2.84}",Santa Cruz|Monterey|Santa Clara,06087|06053|06085,False,False,America/Los_Angeles,"I-15, I-405"
60804,41.84005,-87.75925,Cicero,IL,Illinois,True,,82797.0,4492.8,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-90, I-57"
76063,32.56913,-97.14376,Mansfield,TX,Texas,True,,82625.0,637.6,48439,Tarrant,"{""48439"": 74.34, ""48251"": 24.61, ""48139"": 1.05}",Tarrant|Johnson|Ellis,48439|48251|48139,False,False,America/Chicago,"I-10, I-35"
30040,34.21622,-84.17978,Cumming,GA,Georgia,True,,82532.0,552.5,13117,Forsyth,"{""13117"": 97.84, ""13057"": 2.16}",Forsyth|Cherokee,13117|13057,False,False,America/New_York,"I-20, I-285"
92704,33.72038,-117.90807,Santa Ana,CA,California,True,,82120.0,4280.6,6059,Orange,"{""06059"": 100}",Orange,06059,False,False,America/Los_Angeles,"I-5, I-80"
11233,40.67827,-73.91994,Brooklyn,NY,New York,True,,81822.0,23419.6,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-495, I-90"
28027,35.40879,-80.67524,Concord,NC,North Carolina,True,,81772.0,457.6,37025,Cabarrus,"{""37025"": 100}",Cabarrus,37025,False,False,America/New_York,"I-90, I-80"
11377,40.74483,-73.90516,Woodside,NY,New York,True,,81690.0,12457.4,36081,Queens,"{""36081"": 100}",Queens,36081,False,False,America/New_York,"I-495, I-90"
22193,38.64233,-77.34881,Woodbridge,VA,Virginia,True,,81588.0,1723.1,51153,Prince William,"{""51153"": 100}",Prince William,51153,False,False,America/New_York,"I-90, I-80"
76028,32.52603,-97.30491,Burleson,TX,Texas,True,,81549.0,406.5,48251,Johnson,"{""48251"": 77.06, ""48439"": 22.94}",Johnson|Tarrant,48251|48439,False,False,America/Chicago,"I-10, I-10"
27610,35.7435,-78.54644,Raleigh,NC,North Carolina,True,,81419.0,696.2,37183,Wake,"{""37183"": 99.81, ""37101"": 0.19}",Wake|Johnston,37183|37101,False,False,America/New_York,"I-90, I-80"
60623,41.84793,-87.71753,Chicago,IL,Illinois,True,,81277.0,5836.4,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-290, I-55"
92509,34.00293,-117.44547,Jurupa Valley,CA,California,True,,81182.0,1020.4,6065,Riverside,"{""06065"": 99.37, ""06071"": 0.63}",Riverside|San Bernardino,06065|06071,False,False,America/Los_Angeles,"I-80, I-15"
11355,40.75143,-73.82125,Flushing,NY,New York,True,,80801.0,18173.7,36081,Queens,"{""36081"": 100}",Queens,36081,False,False,America/New_York,"I-495, I-90"
60608,41.84887,-87.67139,Chicago,IL,Illinois,True,,80737.0,4990.3,17031,Cook,"{""17031"": 100}",Cook,17031,False,False,America/Chicago,"I-55, I-290"
98052,47.68148,-122.1203,Redmond,WA,Washington,True,,80717.0,1538.3,53033,King,"{""53033"": 100}",King,53033,False,False,America/Los_Angeles,"I-80, I-90"
93550,34.38305,-118.04926,Palmdale,CA,California,True,,80645.0,120.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-5, I-405"
78577,26.1665,-98.19082,Pharr,TX,Texas,True,,80540.0,1196.0,48215,Hidalgo,"{""48215"": 100}",Hidalgo,48215,False,False,America/Chicago,"I-10, I-45"
93257,35.98708,-118.89493,Porterville,CA,California,True,,80467.0,82.0,6107,Tulare,"{""06107"": 100}",Tulare,06107,False,False,America/Los_Angeles,"I-10, I-405"
92154,32.578,-116.96621,San Diego,CA,California,True,,80445.0,605.4,6073,San Diego,"{""06073"": 100}",San Diego,06073,False,False,America/Los_Angeles,"I-10, I-405"
92563,33.58435,-117.14458,Murrieta,CA,California,True,,80379.0,1371.3,6065,Riverside,"{""06065"": 100}",Riverside,06065,False,False,America/Los_Angeles,"I-405, I-80"
80134,39.48282,-104.77957,Parker,CO,Colorado,True,,80302.0,540.7,8035,Douglas,"{""08035"": 100}",Douglas,08035,False,False,America/Denver,"I-90, I-80"
76179,32.91397,-97.43947,Fort Worth,TX,Texas,True,,80090.0,596.2,48439,Tarrant,"{""48439"": 100}",Tarrant,48439,False,False,America/Chicago,"I-20, I-10"
92592,33.511,-117.0242,Temecula,CA,California,True,,80035.0,280.5,6065,Riverside,"{""06065"": 100}",Riverside,06065,False,False,America/Los_Angeles,"I-5, I-405"
93274,36.17978,-119.37949,Tulare,CA,California,True,,80026.0,140.9,6107,Tulare,"{""06107"": 95.45, ""06031"": 4.55}",Tulare|Kings,06107|06031,False,False,America/Los_Angeles,"I-80, I-15"
30349,33.62346,-84.52591,Atlanta,GA,Georgia,True,,79872.0,672.1,13121,Fulton,"{""13121"": 85.61, ""13063"": 14.39}",Fulton|Clayton,13121|13063,False,False,America/New_York,"I-85, I-285"
30052,33.81654,-83.89538,Loganville,GA,Georgia,True,,79811.0,346.6,13297,Walton,"{""13297"": 66.97, ""13135"": 27.12, ""13247"": 4.61, ""13217"": 1.3}",Walton|Gwinnett|Rockdale|Newton,13297|13135|13247|13217,False,False,America/New_York,"I-85, I-285"
11204,40.61883,-73.98496,Brooklyn,NY,New York,True,,79800.0,19323.1,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-90, I-87"
28269,35.33747,-80.8026,Charlotte,NC,North Carolina,True,,79586.0,1005.1,37119,Mecklenburg,"{""37119"": 96.93, ""37025"": 3.07}",Mecklenburg|Cabarrus,37119|37025,False,False,America/New_York,"I-90, I-80"
10457,40.84571,-73.89794,Bronx,NY,New York,True,,79543.0,23289.4,36005,Bronx,"{""36005"": 100}",Bronx,36005,False,False,America/New_York,"I-90, I-95"
77346,29.99027,-95.17777,Humble,TX,Texas,True,,79538.0,1713.2,48201,Harris,"{""48201"": 100}",Harris,48201,False,False,America/Chicago,"I-20, I-10"
95630,38.66558,-121.141,Folsom,CA,California,True,,79484.0,1171.7,6067,Sacramento,"{""06067"": 100}",Sacramento,06067,False,False,America/Los_Angeles,"I-405, I-10"
93535,34.69908,-117.89613,Lancaster,CA,California,True,,79409.0,128.3,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-405, I-10"
94112,37.7206,-122.44311,San Francisco,CA,California,True,,79277.0,9177.0,6075,San Francisco,"{""06075"": 99.66, ""06081"": 0.34}",San Francisco|San Mateo,06075|06081,False,False,America/Los_Angeles,"I-15, I-5"
37128,35.80343,-86.47483,Murfreesboro,TN,Tennessee,True,,79268.0,540.1,47149,Rutherford,"{""47149"": 100}",Rutherford,47149,False,False,America/Chicago,"I-80, I-90"
66062,38.83677,-94.78455,Olathe,KS,Kansas,True,,78841.0,723.6,20091,Johnson,"{""20091"": 100}",Johnson,20091,False,False,America/Chicago,"I-80, I-90"
79912,31.84839,-106.53272,El Paso,TX,Texas,True,,78819.0,1286.8,48141,El Paso,"{""48141"": 100}",El Paso,48141,False,False,America/Denver,"I-20, I-45"
95035,37.44319,-121.87632,Milpitas,CA,California,True,,78810.0,1356.5,6085,Santa Clara,"{""06085"": 100}",Santa Clara,06085,False,False,America/Los_Angeles,"I-5, I-10"
94533,38.28132,-122.00693,Fairfield,CA,California,True,,78805.0,1350.7,6095,Solano,"{""06095"": 100}",Solano,06095,False,False,America/Los_Angeles,"I-80, I-15"
91710,34.00507,-117.68249,Chino,CA,California,True,,78754.0,1380.1,6071,San Bernardino,"{""06071"": 100}",San Bernardino,06071,False,False,America/Los_Angeles,"I-405, I-80"
93033,34.15401,-119.12296,Oxnard,CA,California,True,,78737.0,944.2,6111,Ventura,"{""06111"": 100}",Ventura,06111,False,False,America/Los_Angeles,"I-10, I-80"
11235,40.58411,-73.94331,Brooklyn,NY,New York,True,,78558.0,12344.3,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-495, I-87"
11229,40.60047,-73.94453,Brooklyn,NY,New York,True,,78377.0,15074.7,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-87, I-495"
11223,40.59711,-73.97344,Brooklyn,NY,New York,True,,78093.0,14566.4,36047,Kings,"{""36047"": 100}",Kings,36047,False,False,America/New_York,"I-95, I-90"
78572,26.19848,-98.35633,Mission,TX,Texas,True,,78024.0,561.3,48215,Hidalgo,"{""48215"": 100}",Hidalgo,48215,False,False,America/Chicago,"I-10, I-35"
